parent_id,formula_x,strain_percent,mp_id,formula_y,formation_energy_per_atom,magnetic_type,magnetic_moment,pred_formE,pred_magMom
mp-1183070,Ac2TlSn,3,mp-1183070,Ac2TlSn,-0.570140636250002,NM,1.03e-05,-0.5139105368810866,-0.049300110584478946
mp-1183077,Ac2YbMg,-3,mp-1183077,Ac2YbMg,0.024890391249996,NM,1.3700000000000004e-05,0.02915402439380848,0.16712926175044135
mp-1183077,Ac2YbMg,0,mp-1183077,Ac2YbMg,0.024890391249996,NM,1.3700000000000004e-05,-0.07637116398532222,0.1098513191753553
mp-1183077,Ac2YbMg,3,mp-1183077,Ac2YbMg,0.024890391249996,NM,1.3700000000000004e-05,0.048051956454175614,-0.015956778421079808
mp-1183066,Ac2ZnAu,-3,mp-1183066,Ac2ZnAu,-0.542450432499997,NM,1.4e-06,-0.5871784188224379,0.09021429725253374
mp-1183066,Ac2ZnAu,0,mp-1183066,Ac2ZnAu,-0.542450432499997,NM,1.4e-06,-0.5172388127182711,0.017642747532443746
mp-1183066,Ac2ZnAu,3,mp-1183066,Ac2ZnAu,-0.542450432499997,NM,1.4e-06,-0.598935594372371,0.03406831129682132
mp-865535,Ac2ZnGa,-3,mp-865535,Ac2ZnGa,-0.378247717499995,NM,0.0004701,-0.41192467263001376,0.020815760352811064
mp-865535,Ac2ZnGa,0,mp-865535,Ac2ZnGa,-0.378247717499995,NM,0.0004701,-0.2717787344961568,-0.03382492007211382
mp-865535,Ac2ZnGa,3,mp-865535,Ac2ZnGa,-0.378247717499995,NM,0.0004701,-0.3924431488483053,-0.1179796410626806
mp-866018,Ac2ZnGe,-3,mp-866018,Ac2ZnGe,-0.457048125,NM,4.13e-05,-0.4840708471890214,-0.011525513927041493
mp-866018,Ac2ZnGe,0,mp-866018,Ac2ZnGe,-0.457048125,NM,4.13e-05,-0.4021003212091129,-0.006477485891855992
mp-866018,Ac2ZnGe,3,mp-866018,Ac2ZnGe,-0.457048125,NM,4.13e-05,-0.5274244734988088,-0.11852195357913513
mp-1183067,Ac2ZnHg,-3,mp-1183067,Ac2ZnHg,-0.384465556874999,NM,0.007783999999999,-0.3784256733081591,0.08734799783395655
mp-1183067,Ac2ZnHg,0,mp-1183067,Ac2ZnHg,-0.384465556874999,NM,0.007783999999999,-0.3554291370387322,0.020512443888752185
mp-1183067,Ac2ZnHg,3,mp-1183067,Ac2ZnHg,-0.384465556874999,NM,0.007783999999999,-0.44118788894978106,0.09124782864052056
mp-1183106,Ac2ZnIn,-3,mp-1183106,Ac2ZnIn,-0.385861482499997,NM,0.00202,-0.446513345965168,0.04094721583863061
mp-1183106,Ac2ZnIn,0,mp-1183106,Ac2ZnIn,-0.385861482499997,NM,0.00202,-0.4636328066281132,-0.05683590229530108
mp-1183106,Ac2ZnIn,3,mp-1183106,Ac2ZnIn,-0.385861482499997,NM,0.00202,-0.41645534567633397,0.054295242901895954
mp-865398,Ac2ZnIr,-3,mp-865398,Ac2ZnIr,-0.414113234999995,NM,4e-07,-0.3717714549992773,-0.028793021640090143
mp-865398,Ac2ZnIr,0,mp-865398,Ac2ZnIr,-0.414113234999995,NM,4e-07,-0.3827526435215348,-0.03670091478581275
mp-865398,Ac2ZnIr,3,mp-865398,Ac2ZnIr,-0.414113234999995,NM,4e-07,-0.39513608720693705,-0.0019150180114260262
mp-866289,Ac2ZnSi,-3,mp-866289,Ac2ZnSi,-0.344163451250004,NM,4e-06,-0.6892303652847162,-0.07841385753735007
mp-866289,Ac2ZnSi,0,mp-866289,Ac2ZnSi,-0.344163451250004,NM,4e-06,-0.3484857020578123,0.015384129299012584
mp-866289,Ac2ZnSi,3,mp-866289,Ac2ZnSi,-0.344163451250004,NM,4e-06,-0.5036075342262636,-0.018147752783918968
mp-1183061,Ac2ZnSn,-3,mp-1183061,Ac2ZnSn,-0.491821567499997,NM,3.5e-06,-0.49097929842465005,-0.007270737383845403
mp-1183061,Ac2ZnSn,0,mp-1183061,Ac2ZnSn,-0.491821567499997,NM,3.5e-06,-0.530521525675258,-0.011182711042866325
mp-1183061,Ac2ZnSn,3,mp-1183061,Ac2ZnSn,-0.491821567499997,NM,3.5e-06,-0.5498195889910593,-0.012438554227454289
mp-1183080,Ac3Ag,-3,mp-1183080,Ac3Ag,0.077761538124995,NM,0.0001252,0.04514293727764845,0.03180357476723177
mp-1183080,Ac3Ag,0,mp-1183080,Ac3Ag,0.077761538124995,NM,0.0001252,0.053111911162867814,0.043923181580215374
mp-1183080,Ac3Ag,3,mp-1183080,Ac3Ag,0.077761538124995,NM,0.0001252,0.03750210127866165,0.07744765698052182
